id,url,domain,tld,domain_type,text_length,source_file,chinese_ratio,has_chinese
CC-MAIN-20240612140424-20240612170424-00000.warc_318,http://agripel.pl/przyczepy/przyczepy/przyczepy-tandem-2/,agripel.pl,pl,其他,4811,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_321,http://agro.icm.edu.pl/agro/contributor/00bbbdbe5c5951066ce7025a67e083eb,agro.icm.edu.pl,pl,教育,1799,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_324,http://ahgjwj.com/product_101_2_23____.html,ahgjwj.com,com,商业,8161,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.8430339419188825,True
CC-MAIN-20240612140424-20240612170424-00000.warc_327,http://ahsiwei.com/video_detail/498403/2/index.html,ahsiwei.com,com,商业,8606,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_330,http://ahsyqh.com/baae/639-935.html,ahsyqh.com,com,商业,14283,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.033466358608135544,True
CC-MAIN-20240612140424-20240612170424-00000.warc_336,http://ai.baidu.com/ai-doc/EASYDL/5k38n30e8,ai.baidu.com,com,商业,15726,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.719381915299504,True
CC-MAIN-20240612140424-20240612170424-00000.warc_339,http://aipaea09.blogspot.com/2010/03/national-anomaly-committee-meeting.html,aipaea09.blogspot.com,com,商业,7682,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_345,http://airfryereverything.com/,airfryereverything.com,com,商业,1513,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_348,http://airliebeachlive.com/event/nye-fireworks-foreshore,airliebeachlive.com,com,商业,1916,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_351,http://aixuezhang.com/caizhi2276/149.html,aixuezhang.com,com,商业,1797,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.4819143016138008,True
CC-MAIN-20240612140424-20240612170424-00000.warc_354,http://akuntansi.uma.ac.id/tag/manfaat-peluang-bisnis/,akuntansi.uma.ac.id,id,其他,3336,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_357,http://al.houda.free.fr/forum/login.php?sid=5b3847a0ca77a21de27ca13d0abced15,al.houda.free.fr,fr,其他,458,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_360,http://albertbaderturnier.de/h3k-2023,albertbaderturnier.de,de,其他,1514,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_363,http://algaescrubber.net/forums/showthread.php?3274-commercial-production-of-macro-algae&p=37109,algaescrubber.net,net,网络,2418,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_369,http://alisastom.spb.ru/v/114040,alisastom.spb.ru,ru,其他,2057,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_372,http://alisonbriegallery.blogspot.com/2011/07/desktop-wallpapers-xp.html,alisonbriegallery.blogspot.com,com,商业,1418,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_375,http://alkhansatraditionaljewelry.com/?i=makina-watch-for-sale-d-lePqRzHk,alkhansatraditionaljewelry.com,com,商业,1625,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_378,http://almagor.blogspot.com/2005_03_20_archive.html,almagor.blogspot.com,com,商业,59355,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_381,http://almorakib.com/?p=34341,almorakib.com,com,商业,5427,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_384,http://alpenlodge.ch/events/bike.html,alpenlodge.ch,ch,其他,1041,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
